,State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,Transaction_type
120,Andaman & Nicobar,2021,1,744101,55726,190830957.1,TOTAL
121,Andaman & Nicobar,2021,1,744103,47328,158404100.8,TOTAL
122,Andaman & Nicobar,2021,1,744105,35467,111571687.4,TOTAL
123,Andaman & Nicobar,2021,1,744102,23957,80750048.82,TOTAL
124,Andaman & Nicobar,2021,1,744211,10648,34956327.94,TOTAL
125,Andaman & Nicobar,2021,1,744202,10597,28127629.88,TOTAL
126,Andaman & Nicobar,2021,1,744107,8848,19627951.47,TOTAL
127,Andaman & Nicobar,2021,1,744104,8799,27854306.52,TOTAL
128,Andaman & Nicobar,2021,1,744112,7113,21084790.05,TOTAL
129,Andaman & Nicobar,2021,1,744301,5630,22671937.31,TOTAL
130,Andaman & Nicobar,2021,2,744101,73334,227585492.7,TOTAL
131,Andaman & Nicobar,2021,2,744103,66321,174752815.2,TOTAL
132,Andaman & Nicobar,2021,2,744105,52645,134835744.2,TOTAL
133,Andaman & Nicobar,2021,2,744102,34289,100890426.8,TOTAL
134,Andaman & Nicobar,2021,2,744202,16476,40647907.97,TOTAL
135,Andaman & Nicobar,2021,2,744107,14524,24690581.54,TOTAL
136,Andaman & Nicobar,2021,2,744104,11278,28333852.06,TOTAL
137,Andaman & Nicobar,2021,2,744211,10182,20377949.35,TOTAL
138,Andaman & Nicobar,2021,2,744112,9635,21637658.17,TOTAL
139,Andaman & Nicobar,2021,2,744301,8463,27666837.4,TOTAL
140,Andaman & Nicobar,2021,3,744101,116324,388328168.8,TOTAL
141,Andaman & Nicobar,2021,3,744103,84790,246433385.8,TOTAL
142,Andaman & Nicobar,2021,3,744105,67257,185238368.5,TOTAL
143,Andaman & Nicobar,2021,3,744102,43850,131239564.2,TOTAL
144,Andaman & Nicobar,2021,3,744202,19088,48475163.57,TOTAL
145,Andaman & Nicobar,2021,3,744107,16203,37962312.1,TOTAL
146,Andaman & Nicobar,2021,3,744104,14657,35301326.11,TOTAL
147,Andaman & Nicobar,2021,3,744112,11565,28491553.61,TOTAL
148,Andaman & Nicobar,2021,3,744301,11553,43464511.05,TOTAL
149,Andaman & Nicobar,2021,3,744211,9655,19497765.26,TOTAL
150,Andaman & Nicobar,2021,4,744101,165719,533026208,TOTAL
151,Andaman & Nicobar,2021,4,744103,121613,372243734.3,TOTAL
152,Andaman & Nicobar,2021,4,744105,95028,281223411.7,TOTAL
153,Andaman & Nicobar,2021,4,744102,58258,174623253.5,TOTAL
154,Andaman & Nicobar,2021,4,744211,27938,94222862.11,TOTAL
155,Andaman & Nicobar,2021,4,744104,25662,69245386.08,TOTAL
156,Andaman & Nicobar,2021,4,744202,21913,67790798.05,TOTAL
157,Andaman & Nicobar,2021,4,744107,21397,52036030,TOTAL
158,Andaman & Nicobar,2021,4,744112,18915,55448543.43,TOTAL
159,Andaman & Nicobar,2021,4,744301,14553,47792330.7,TOTAL
160,Andaman & Nicobar,2022,1,744101,209941,615978080.7,TOTAL
161,Andaman & Nicobar,2022,1,744103,157230,399715980.1,TOTAL
162,Andaman & Nicobar,2022,1,744105,122716,321850608.7,TOTAL
163,Andaman & Nicobar,2022,1,744102,74883,193336549.9,TOTAL
164,Andaman & Nicobar,2022,1,744104,32471,72915521.84,TOTAL
165,Andaman & Nicobar,2022,1,744211,30272,86955570.59,TOTAL
166,Andaman & Nicobar,2022,1,744107,25379,58776727.63,TOTAL
167,Andaman & Nicobar,2022,1,744202,24022,68519268.78,TOTAL
168,Andaman & Nicobar,2022,1,744112,23471,55469783.66,TOTAL
169,Andaman & Nicobar,2022,1,744301,17630,56879992.28,TOTAL
170,Andaman & Nicobar,2022,2,744101,252722,702122365.4,TOTAL
171,Andaman & Nicobar,2022,2,744103,230746,561168775.6,TOTAL
172,Andaman & Nicobar,2022,2,744105,176252,415796516.6,TOTAL
173,Andaman & Nicobar,2022,2,744102,101551,240451609.2,TOTAL
174,Andaman & Nicobar,2022,2,744104,47069,94335358.34,TOTAL
175,Andaman & Nicobar,2022,2,744211,40245,108788594.6,TOTAL
176,Andaman & Nicobar,2022,2,744107,36402,82851064.58,TOTAL
177,Andaman & Nicobar,2022,2,744112,32548,70178309.13,TOTAL
178,Andaman & Nicobar,2022,2,744202,27750,84587978.84,TOTAL
179,Andaman & Nicobar,2022,2,744301,26170,74485462.68,TOTAL
180,Andaman & Nicobar,2022,3,744104,497273,951370315.4,TOTAL
181,Andaman & Nicobar,2022,3,744103,259994,545653686.3,TOTAL
182,Andaman & Nicobar,2022,3,744101,213864,444967255.8,TOTAL
183,Andaman & Nicobar,2022,3,744105,208055,438754611.5,TOTAL
184,Andaman & Nicobar,2022,3,744102,114416,239581586.8,TOTAL
185,Andaman & Nicobar,2022,3,744107,40466,85492008.49,TOTAL
186,Andaman & Nicobar,2022,3,744112,38350,74030563.48,TOTAL
187,Andaman & Nicobar,2022,3,744211,37918,89671382.07,TOTAL
188,Andaman & Nicobar,2022,3,744202,29918,85509005.85,TOTAL
189,Andaman & Nicobar,2022,3,744301,27668,70002553.35,TOTAL
190,Andaman & Nicobar,2022,4,744104,684366,1309407988,TOTAL
