State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,Peer-to-peer payments,244134,734034142.8
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,Recharge & bill payments,198184,63874445.55
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,Merchant payments,40781,20816136.24
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,Financial Services,748,155149.7562
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,Others,5809,5561402.206
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,Recharge & bill payments,319142,104597035.1
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,Peer-to-peer payments,249944,821178569.1
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,Merchant payments,63616,30634658.24
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,Financial Services,533,425044.0514
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,Others,5516,4636167.42
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,Peer-to-peer payments,408465,757657638.3
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,Recharge & bill payments,225998,62660761.89
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,Merchant payments,20694,17043867.89
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,Financial Services,1645,221064.6189
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,Others,5012,5786443.339
ladakh,2020,4,Peer-to-peer payments,151582,985814864.3
ladakh,2020,4,Recharge & bill payments,94133,44185250.86
ladakh,2020,4,Merchant payments,83868,77511378.31
ladakh,2020,4,Financial Services,729,1965054.59
ladakh,2020,4,Others,1822,2486922.404
ladakh,2020,2,Recharge & bill payments,70601,32087339.27
ladakh,2020,2,Peer-to-peer payments,68450,470749365.1
ladakh,2020,2,Merchant payments,15132,19679330.19
ladakh,2020,2,Financial Services,337,786069.1631
ladakh,2020,2,Others,490,490894.9382
ladakh,2020,3,Peer-to-peer payments,108345,751333715.3
ladakh,2020,3,Recharge & bill payments,81623,40380074.55
ladakh,2020,3,Merchant payments,36861,40538778.76
ladakh,2020,3,Financial Services,621,2334917.783
ladakh,2020,3,Others,772,900013.6787
ladakh,2020,1,Peer-to-peer payments,51560,339551900.4
ladakh,2020,1,Recharge & bill payments,49801,23010664.72
ladakh,2020,1,Merchant payments,14264,13338124.27
ladakh,2020,1,Financial Services,204,583108.9455
ladakh,2020,1,Others,590,1155879.121
ladakh,2021,4,Peer-to-peer payments,337120,1804428550
ladakh,2021,4,Merchant payments,169110,284786365.9
ladakh,2021,4,Recharge & bill payments,120607,58403893.47
ladakh,2021,4,Financial Services,912,3068708.947
ladakh,2021,4,Others,2438,2847620.243
ladakh,2021,2,Peer-to-peer payments,209818,1259044412
ladakh,2021,2,Recharge & bill payments,95458,44754721.83
ladakh,2021,2,Merchant payments,92078,119608470
ladakh,2021,2,Financial Services,755,1756762.147
ladakh,2021,2,Others,1607,2094729.018
ladakh,2021,3,Peer-to-peer payments,330919,1917311078
ladakh,2021,3,Merchant payments,135108,233260756.5
ladakh,2021,3,Recharge & bill payments,121856,58750081.82
ladakh,2021,3,Financial Services,900,1911625.545
ladakh,2021,3,Others,2204,2751201.937
ladakh,2021,1,Peer-to-peer payments,141894,869999786.2
ladakh,2021,1,Recharge & bill payments,72719,35459532.41
ladakh,2021,1,Merchant payments,58875,74977913.47
ladakh,2021,1,Financial Services,629,1455016.148
ladakh,2021,1,Others,1298,1527565.063
ladakh,2018,4,Recharge & bill payments,16650,5701932.895
ladakh,2018,4,Peer-to-peer payments,15939,123611779.6
ladakh,2018,4,Merchant payments,1881,5082666.821
ladakh,2018,4,Financial Services,142,94604.73392
ladakh,2018,4,Others,599,1031858.453
ladakh,2018,2,Recharge & bill payments,8075,2417434.273
ladakh,2018,2,Peer-to-peer payments,5667,42638443.12
ladakh,2018,2,Merchant payments,724,1761366.296
ladakh,2018,2,Financial Services,151,127324.628
ladakh,2018,2,Others,393,390334.2205
ladakh,2018,3,Recharge & bill payments,13136,4676712.344
