,State,Year,Quarter,District,Transaction_count,Transaction_amount,Transaction_type
227,Andhra Pradesh,2021,1,guntur district,27445045,64207987853,TOTAL
228,Andhra Pradesh,2021,1,krishna district,29717175,69715406645,TOTAL
229,Andhra Pradesh,2021,2,east godavari district,31717908,74604325864,TOTAL
230,Andhra Pradesh,2021,2,srikakulam district,13546232,32298129545,TOTAL
231,Andhra Pradesh,2021,2,spsr nellore district,30290406,72283071757,TOTAL
232,Andhra Pradesh,2021,2,vizianagaram district,12689494,29140685237,TOTAL
233,Andhra Pradesh,2021,2,visakhapatnam district,54390299,1.14439E+11,TOTAL
234,Andhra Pradesh,2021,2,prakasam district,19944047,54535328043,TOTAL
235,Andhra Pradesh,2021,2,anantapur district,25123346,60987487571,TOTAL
236,Andhra Pradesh,2021,2,ysr district,18457361,52523527031,TOTAL
237,Andhra Pradesh,2021,2,west godavari district,20950964,57233116236,TOTAL
238,Andhra Pradesh,2021,2,kurnool district,21972396,56659287475,TOTAL
239,Andhra Pradesh,2021,2,chittoor district,34344902,73654690122,TOTAL
240,Andhra Pradesh,2021,2,guntur district,32968819,82356914464,TOTAL
241,Andhra Pradesh,2021,2,krishna district,36370960,90021923050,TOTAL
242,Andhra Pradesh,2021,3,east godavari district,39572714,89380370073,TOTAL
243,Andhra Pradesh,2021,3,srikakulam district,15639768,34836400770,TOTAL
244,Andhra Pradesh,2021,3,spsr nellore district,34411958,77839676988,TOTAL
245,Andhra Pradesh,2021,3,vizianagaram district,14510005,31383541628,TOTAL
246,Andhra Pradesh,2021,3,visakhapatnam district,69220981,1.36946E+11,TOTAL
247,Andhra Pradesh,2021,3,prakasam district,24116580,63367713447,TOTAL
248,Andhra Pradesh,2021,3,anantapur district,30366444,70291248156,TOTAL
249,Andhra Pradesh,2021,3,ysr district,22439316,60683557725,TOTAL
250,Andhra Pradesh,2021,3,west godavari district,26245039,66647238455,TOTAL
251,Andhra Pradesh,2021,3,kurnool district,26377809,62527453762,TOTAL
252,Andhra Pradesh,2021,3,chittoor district,42628568,89371931753,TOTAL
253,Andhra Pradesh,2021,3,guntur district,41675093,96525353090,TOTAL
254,Andhra Pradesh,2021,3,krishna district,44828275,1.04418E+11,TOTAL
255,Andhra Pradesh,2021,4,east godavari district,48992531,1.06726E+11,TOTAL
256,Andhra Pradesh,2021,4,srikakulam district,18501857,39713657870,TOTAL
257,Andhra Pradesh,2021,4,spsr nellore district,41921081,92256405076,TOTAL
258,Andhra Pradesh,2021,4,vizianagaram district,17253059,36577529465,TOTAL
259,Andhra Pradesh,2021,4,visakhapatnam district,82711538,1.5953E+11,TOTAL
260,Andhra Pradesh,2021,4,prakasam district,27858275,71323060008,TOTAL
261,Andhra Pradesh,2021,4,anantapur district,36129136,81239787007,TOTAL
262,Andhra Pradesh,2021,4,ysr district,26340348,69081850069,TOTAL
263,Andhra Pradesh,2021,4,west godavari district,33235175,81292461575,TOTAL
264,Andhra Pradesh,2021,4,kurnool district,31782248,73968947670,TOTAL
265,Andhra Pradesh,2021,4,chittoor district,51119640,1.03986E+11,TOTAL
266,Andhra Pradesh,2021,4,guntur district,50919286,1.15554E+11,TOTAL
267,Andhra Pradesh,2021,4,krishna district,55489829,1.25015E+11,TOTAL
268,Andhra Pradesh,2022,1,east godavari district,54738830,1.21067E+11,TOTAL
269,Andhra Pradesh,2022,1,srikakulam district,20990782,46898912116,TOTAL
270,Andhra Pradesh,2022,1,spsr nellore district,47645702,1.04896E+11,TOTAL
271,Andhra Pradesh,2022,1,vizianagaram district,19278262,41994853362,TOTAL
272,Andhra Pradesh,2022,1,visakhapatnam district,88233362,1.7012E+11,TOTAL
273,Andhra Pradesh,2022,1,prakasam district,31340975,79494373255,TOTAL
274,Andhra Pradesh,2022,1,anantapur district,40613148,90197023268,TOTAL
275,Andhra Pradesh,2022,1,ysr district,29783739,78421693519,TOTAL
276,Andhra Pradesh,2022,1,west godavari district,37271259,92397939904,TOTAL
277,Andhra Pradesh,2022,1,kurnool district,35093633,81568420501,TOTAL
278,Andhra Pradesh,2022,1,chittoor district,58561024,1.17901E+11,TOTAL
279,Andhra Pradesh,2022,1,guntur district,57226996,1.29674E+11,TOTAL
280,Andhra Pradesh,2022,1,krishna district,61826199,1.3969E+11,TOTAL
281,Andhra Pradesh,2022,2,east godavari district,62072845,1.35531E+11,TOTAL
282,Andhra Pradesh,2022,2,srikakulam district,23727353,53754764122,TOTAL
283,Andhra Pradesh,2022,2,spsr nellore district,54838708,1.21941E+11,TOTAL
284,Andhra Pradesh,2022,2,vizianagaram district,21766135,47294745020,TOTAL
285,Andhra Pradesh,2022,2,visakhapatnam district,101387402,1.93243E+11,TOTAL
286,Andhra Pradesh,2022,2,prakasam district,36163507,90435082546,TOTAL
287,Andhra Pradesh,2022,2,anantapur district,46099366,1.02139E+11,TOTAL
288,Andhra Pradesh,2022,2,ysr district,33154559,87601310070,TOTAL
289,Andhra Pradesh,2022,2,west godavari district,44409239,1.07973E+11,TOTAL
290,Andhra Pradesh,2022,2,kurnool district,40165692,92409350856,TOTAL
291,Andhra Pradesh,2022,2,chittoor district,67507661,1.36435E+11,TOTAL
292,Andhra Pradesh,2022,2,guntur district,66315749,1.47098E+11,TOTAL
293,Andhra Pradesh,2022,2,krishna district,73525814,1.63998E+11,TOTAL
294,Andhra Pradesh,2022,3,east godavari district,61467134,1.29678E+11,TOTAL
295,Andhra Pradesh,2022,3,srikakulam district,22126541,46899962922,TOTAL
296,Andhra Pradesh,2022,3,spsr nellore district,42116582,95099325968,TOTAL
297,Andhra Pradesh,2022,3,vizianagaram district,20440645,42513313395,TOTAL
298,Andhra Pradesh,2022,3,visakhapatnam district,97434546,1.81124E+11,TOTAL
299,Andhra Pradesh,2022,3,prakasam district,35376080,87475230073,TOTAL
300,Andhra Pradesh,2022,3,anantapur district,45165363,97735649608,TOTAL
301,Andhra Pradesh,2022,3,ysr district,33119038,86016932181,TOTAL
302,Andhra Pradesh,2022,3,west godavari district,43635951,1.01707E+11,TOTAL
303,Andhra Pradesh,2022,3,kurnool district,39557913,88415335176,TOTAL
304,Andhra Pradesh,2022,3,chittoor district,65751781,1.33054E+11,TOTAL
305,Andhra Pradesh,2022,3,guntur district,65612317,1.41589E+11,TOTAL
306,Andhra Pradesh,2022,3,krishna district,71051144,1.53771E+11,TOTAL
307,Andhra Pradesh,2022,4,east godavari district,68016055,1.36531E+11,TOTAL
308,Andhra Pradesh,2022,4,srikakulam district,23693779,47726411108,TOTAL
309,Andhra Pradesh,2022,4,spsr nellore district,42582064,92085916181,TOTAL
310,Andhra Pradesh,2022,4,vizianagaram district,22205190,44467386404,TOTAL
311,Andhra Pradesh,2022,4,visakhapatnam district,103790055,1.85306E+11,TOTAL
312,Andhra Pradesh,2022,4,prakasam district,37211077,88105031866,TOTAL
313,Andhra Pradesh,2022,4,anantapur district,48299601,1.01534E+11,TOTAL
314,Andhra Pradesh,2022,4,ysr district,35201596,87360426793,TOTAL
315,Andhra Pradesh,2022,4,west godavari district,47919930,1.05336E+11,TOTAL
316,Andhra Pradesh,2022,4,kurnool district,43524766,94667441029,TOTAL
317,Andhra Pradesh,2022,4,chittoor district,70322534,1.36841E+11,TOTAL
318,Andhra Pradesh,2022,4,guntur district,70723763,1.46939E+11,TOTAL
319,Andhra Pradesh,2022,4,krishna district,76526667,1.57826E+11,TOTAL
320,Arunanchal Pradesh,2018,1,lower dibang valley district,1356,1076236.814,TOTAL
321,Arunanchal Pradesh,2018,1,lower subansiri district,1477,3650727.894,TOTAL
322,Arunanchal Pradesh,2018,1,longding district,2321,4361531.578,TOTAL
323,Arunanchal Pradesh,2018,1,west siang district,1887,4796675.565,TOTAL
324,Arunanchal Pradesh,2018,1,kamle district,14,7971.330495,TOTAL
325,Arunanchal Pradesh,2018,1,upper siang district,126,186610.6699,TOTAL
326,Arunanchal Pradesh,2018,1,tirap district,945,1064265,TOTAL
327,Arunanchal Pradesh,2018,1,papum pare district,14224,32555848.46,TOTAL
328,Arunanchal Pradesh,2018,1,kurung kumey district,84,99416.58027,TOTAL
329,Arunanchal Pradesh,2018,1,siang district,252,339471.8043,TOTAL
330,Arunanchal Pradesh,2018,1,lower siang district,1292,2337960.715,TOTAL
331,Arunanchal Pradesh,2018,1,kra daadi district,207,495375.1455,TOTAL
332,Arunanchal Pradesh,2018,1,changlang district,3195,5380749.415,TOTAL
333,Arunanchal Pradesh,2018,1,pakke kessang district,9,9131.404206,TOTAL
334,Arunanchal Pradesh,2018,1,dibang valley district,2,169.8885654,TOTAL
335,Arunanchal Pradesh,2018,1,west kameng district,5787,9540632.547,TOTAL
336,Arunanchal Pradesh,2018,1,east siang district,3286,5533620.186,TOTAL
337,Arunanchal Pradesh,2018,1,upper subansiri district,735,1358367.502,TOTAL
338,Arunanchal Pradesh,2018,1,east kameng district,529,473824.766,TOTAL
339,Arunanchal Pradesh,2018,1,lohit district,3747,11496949.55,TOTAL
340,Arunanchal Pradesh,2018,1,lepa rada district,288,403149.467,TOTAL
341,Arunanchal Pradesh,2018,1,tawang district,2334,5055665.023,TOTAL
342,Arunanchal Pradesh,2018,1,namsai district,1400,2162984.705,TOTAL
343,Arunanchal Pradesh,2018,2,lower dibang valley district,1827,2561237.506,TOTAL
344,Arunanchal Pradesh,2018,2,lower subansiri district,1666,4113742.044,TOTAL
345,Arunanchal Pradesh,2018,2,longding district,4634,10271170.17,TOTAL
346,Arunanchal Pradesh,2018,2,west siang district,2579,7610989.567,TOTAL
347,Arunanchal Pradesh,2018,2,kamle district,12,23654.05837,TOTAL
348,Arunanchal Pradesh,2018,2,upper siang district,240,494895.0928,TOTAL
349,Arunanchal Pradesh,2018,2,tirap district,1903,3126393.765,TOTAL
350,Arunanchal Pradesh,2018,2,papum pare district,25363,66520931.2,TOTAL
351,Arunanchal Pradesh,2018,2,kurung kumey district,83,123737.222,TOTAL
352,Arunanchal Pradesh,2018,2,anjaw district,7,7871.020815,TOTAL
353,Arunanchal Pradesh,2018,2,siang district,336,740232.631,TOTAL
354,Arunanchal Pradesh,2018,2,lower siang district,2292,2179451.658,TOTAL
355,Arunanchal Pradesh,2018,2,kra daadi district,247,987135.996,TOTAL
